Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Hotel Europejski we Wrocławiu,lodging,"Marszałka Józefa Piłsudskiego 88, 50-017 Wrocław, Poland",4.0,1350,51.100429,17.0341453,,https://maps.google.com/maps/contrib/102055434202936311580,ChIJq6uW22_CD0cRumWbJxB-QNU
"Radisson Blu Hotel, Wroclaw",lodging,"10 Purkyniego St, 50-156 Wrocław, Poland",4.5,2056,51.1107585,17.0439004,,https://maps.google.com/maps/contrib/106669749531931820028,ChIJpS7t8NfpD0cRYDSud_texYk
Hotel Monopol,lodging,"Ulica Heleny Modrzejewskiej 2, 50-071 Wrocław, Poland",4.5,2223,51.1060879,17.0310289,,https://maps.google.com/maps/contrib/101194812002602020198,ChIJh_zG8nPCD0cRe42gCFPqZoA
DoubleTree by Hilton Wroclaw,lodging,"Podwale 84, 50-414 Wrocław, Poland",4.6,4462,51.1083289,17.0433879,,https://maps.google.com/maps/contrib/109436554001662729963,ChIJEyvqp3HCD0cRy5wQrRrFeJI
Apartamenty Wrocławskie,lodging,"Krawiecka 1, 50-148 Wrocław, Poland",4.1,127,51.10845459999999,17.0377446,,https://maps.google.com/maps/contrib/110791294869291502479,ChIJK3WJRHbCD0cRxwyyJlLyb74
Rezydencja Wrocław,lodging,"plac Jana Pawła II 33/19, 50-136 Wrocław, Poland",5.0,23,51.1135846,17.0242972,,https://maps.google.com/maps/contrib/105204974097764336145,ChIJn5-bEEPpD0cR4gTKpyoA1No
Hotel Grand City,lodging,"Rzeźnicza 1, 50-129 Wrocław, Poland",4.3,629,51.110384,17.0281,,https://maps.google.com/maps/contrib/113702165127707338882,ChIJWyUNLnXCD0cRPrMhlBd_NsM
Hotel Piast,lodging,"Marszałka Józefa Piłsudskiego 98, 50-017 Wrocław, Poland",4.2,1861,51.1001358,17.0357245,,https://maps.google.com/maps/contrib/108828243746055818429,ChIJg78B5W_CD0cR8uzDE9d3yeA
Q17 Apartments Old Town Wrocław,lodging,"Kuźnicza 17/19, 50-147 Wrocław, Poland",4.6,562,51.1119902,17.0344188,,https://maps.google.com/maps/contrib/113921068569047197083,ChIJ06kCXt_pD0cReDlDziTpKDU
Novotel Wroclaw City,lodging,"Wyścigowa 35, 53-011 Wrocław, Poland",4.4,2889,51.06876279999999,17.0080265,,https://maps.google.com/maps/contrib/112815836679023090521,ChIJofLiDLTDD0cRoxX8ZUlFZYY
Platinum Palace Boutique Hotel & SPA,lodging,"Powstańców Śląskich 204, 53-140 Wrocław, Poland",4.3,1071,51.0777973,17.0080744,,https://maps.google.com/maps/contrib/114675107426245110374,ChIJvYETHUrCD0cR5NXoTtBI9WQ
Arche Hotel Wrocław,lodging,"Graniczna 183, 54-530 Wrocław, Poland",4.4,524,51.111538,16.8880982,,https://maps.google.com/maps/contrib/100912016858924458295,ChIJw_yrKQXBD0cRuIPJJnZUAQU
Apartamenty Sky Tower,lodging,"Gwiaździsta 64, 53-323 Wrocław, Poland",4.5,1495,51.09510539999999,17.0191436,,https://maps.google.com/maps/contrib/108456508539723265419,ChIJdfCDT2rCD0cREbOvm_B60Zw
EXCLUSIVE Aparthotel | MARINA,lodging,"Pomorska 1a, 50-215 Wrocław, Poland",4.7,296,51.1144883,17.0321735,,https://maps.google.com/maps/contrib/105880181153818686262,ChIJ22HHuNnpD0cRReueTtkqB24
